Date,Open,High,Low,Close,Adj Close,Volume
1996-11-07,5722.500000,5752.200195,5722.500000,5739.200195,5739.200195,1027200
1996-11-08,5740.200195,5759.100098,5738.399902,5758.799805,5758.799805,1033000
1996-11-11,5758.299805,5802.399902,5758.299805,5802.399902,5802.399902,731400
1996-11-12,5808.799805,5808.799805,5793.899902,5807.000000,5807.000000,1228600
1996-11-13,5805.399902,5816.399902,5789.399902,5799.000000,5799.000000,1431200
1996-11-14,5786.299805,5824.899902,5786.299805,5820.899902,5820.899902,1166100
1996-11-15,5837.200195,5880.200195,5832.200195,5870.600098,5870.600098,1217300
1996-11-18,5865.500000,5875.000000,5862.600098,5872.700195,5872.700195,943200
1996-11-19,5881.600098,5907.700195,5881.600098,5905.600098,5905.600098,1121200
1996-11-20,5921.899902,5986.799805,5918.799805,5966.100098,5966.100098,1352600
1996-11-21,5971.299805,5971.299805,5922.200195,5922.200195,5922.200195,1292200
1996-11-22,5930.399902,5940.700195,5900.200195,5917.799805,5917.799805,1028900
1996-11-25,5926.600098,5952.700195,5926.600098,5952.399902,5952.399902,956900
1996-11-26,5976.799805,5976.799805,5950.100098,5975.600098,5975.600098,1243600
1996-11-27,5982.200195,5988.299805,5971.600098,5986.399902,5986.399902,1123300
1996-11-28,5986.399902,6019.100098,5986.399902,6018.700195,6018.700195,707000
1996-11-29,6014.399902,6016.700195,5991.000000,6016.700195,6016.700195,1001600
1996-12-02,5978.899902,5990.000000,5970.899902,5985.000000,5985.000000,944900
1996-12-03,5981.100098,5996.799805,5939.899902,5940.700195,5940.700195,1210700
1996-12-04,5942.500000,5942.500000,5881.200195,5910.700195,5910.700195,1137900
1996-12-05,5891.700195,5891.700195,5839.000000,5841.799805,5841.799805,1227900
1996-12-06,5687.500000,5810.100098,5672.200195,5810.100098,5810.100098,836800
1996-12-09,5855.500000,5906.799805,5855.500000,5906.500000,5906.500000,820100
1996-12-10,5936.100098,5946.799805,5919.700195,5919.899902,5919.899902,1081200
1996-12-11,5821.100098,5863.700195,5781.700195,5781.700195,5781.700195,1102000
1996-12-12,5815.200195,5815.200195,5722.799805,5722.799805,5722.799805,987900
1996-12-13,5720.500000,5720.500000,5691.799805,5706.899902,5706.899902,899900
1996-12-16,5734.100098,5734.100098,5705.100098,5712.399902,5712.399902,879300
1996-12-17,5700.799805,5717.700195,5696.799805,5710.200195,5710.200195,995400
1996-12-18,5728.399902,5731.399902,5714.399902,5727.600098,5727.600098,965700
1996-12-19,5760.799805,5845.100098,5759.000000,5844.299805,5844.299805,1109600
1996-12-20,5876.399902,5886.600098,5844.600098,5869.700195,5869.700195,1099200
1996-12-23,5879.100098,5880.200195,5855.899902,5862.899902,5862.899902,769100
1996-12-24,5860.700195,5868.500000,5855.600098,5867.799805,5867.799805,407400
1996-12-25,null,null,null,null,null,null
1996-12-26,null,null,null,null,null,null
1996-12-27,5876.200195,5904.000000,5876.200195,5902.600098,5902.600098,329700
1996-12-30,5920.700195,5961.399902,5917.299805,5954.299805,5954.299805,504000
1996-12-31,5955.700195,5960.000000,5921.899902,5927.000000,5927.000000,454500
1997-01-01,null,null,null,null,null,null
1997-01-02,5917.799805,5917.799805,5872.200195,5904.299805,5904.299805,489500
1997-01-03,5911.899902,5932.200195,5907.600098,5919.500000,5919.500000,609400
1997-01-06,5916.700195,5938.100098,5905.000000,5920.700195,5920.700195,754600
1997-01-07,5906.299805,5946.899902,5903.100098,5946.899902,5946.899902,1036200
1997-01-08,5946.700195,5946.700195,5926.600098,5930.000000,5930.000000,1096300
1997-01-09,5936.799805,5959.399902,5933.600098,5959.399902,5959.399902,1028200
1997-01-10,5923.299805,5989.200195,5923.299805,5984.899902,5984.899902,1055800
1997-01-13,6009.200195,6016.700195,5998.500000,6001.500000,6001.500000,1110300
1997-01-14,6019.600098,6059.799805,6015.200195,6054.899902,6054.899902,1303700
1997-01-15,6051.500000,6080.200195,6044.500000,6065.299805,6065.299805,1188600
